temperature_C,wt_percent_Cu,wt_percent_Ni,wt_percent_Mn,wt_percent_P,wt_percent_Si,wt_percent_C,log(fluence_n_cm2),log(flux_n_cm2_sec),group,Measured_DT41J_[C]
292.0,0.04,0.85,0.75,0.01,0.32,0.0,18.987219229908003,11.214434131788256,original,17.0
292.0,0.04,0.85,0.75,0.01,0.32,0.0,19.133538908370216,11.01689929072727,original,18.0
292.0,0.09,0.05,1.98,0.011,0.19,0.0,18.987219229908003,11.214434131788256,original,34.0
292.0,0.09,0.05,1.98,0.011,0.19,0.0,19.133538908370216,11.01689929072727,original,40.0
298.8888888888889,0.1,0.18,1.42,0.016,0.25,0.3,18.17609125905568,10.80169488914176,original,-13.88888888888889
298.8888888888889,0.1,0.18,1.42,0.016,0.25,0.3,19.361727836017597,11.98733146610367,original,37.22222222222222
298.8888888888889,0.1,0.18,1.42,0.016,0.25,0.3,20.029383777685208,12.210867571441506,original,83.88888888888889
298.8888888888889,0.1,0.18,1.42,0.016,0.25,0.3,18.851258348719075,10.878082448174991,original,31.11111111111111
298.8888888888889,0.1,0.18,1.42,0.016,0.25,0.3,19.356025857193124,10.921454398493015,original,58.333333333333336
298.8888888888889,0.27,0.1,1.25,0.014,0.28,0.12,18.17609125905568,10.80169488914176,original,27.22222222222222
298.8888888888889,0.27,0.1,1.25,0.014,0.28,0.12,18.851258348719075,10.878082448174991,original,78.33333333333333
298.8888888888889,0.27,0.1,1.25,0.014,0.28,0.12,19.356025857193124,10.921454398493015,original,68.33333333333333
283.8888888888889,0.2,0.54,1.31,0.01,0.18,0.2,18.48000694295715,10.902019089974155,original,71.05555555555556
283.8888888888889,0.2,0.54,1.31,0.01,0.18,0.2,18.792391689498253,10.7372825817956,original,65.72222222222221
283.8888888888889,0.2,0.54,1.31,0.01,0.18,0.2,18.97954837470409,10.709889756126582,original,82.05555555555556
283.8888888888889,0.2,0.54,1.31,0.01,0.18,0.2,19.32221929473392,10.66807665033349,original,78.72222222222221
283.8888888888889,0.2,0.54,1.31,0.01,0.18,0.2,18.48000694295715,10.902019089974155,original,76.66666666666666
283.8888888888889,0.2,0.54,1.31,0.01,0.18,0.2,18.792391689498253,10.7372825817956,original,73.38888888888889
283.8888888888889,0.2,0.54,1.31,0.01,0.18,0.2,18.97954837470409,10.709889756126582,original,100.1111111111111
283.8888888888889,0.2,0.54,1.31,0.01,0.18,0.2,19.32221929473392,10.66807665033349,original,92.7222222222222
283.8888888888889,0.26,0.62,1.37,0.018,0.27,0.11,18.48000694295715,10.902019089974155,original,88.77777777777777
